Timestamp,Anchor,Range
2024-06-10 12:04:49,84,0.6
2024-06-10 12:04:49,85,0.8
2024-06-10 12:04:50,84,1.3
2024-06-10 12:04:50,85,0.9
2024-06-10 12:04:51,84,0.8
2024-06-10 12:04:51,85,0.6
2024-06-10 12:04:52,84,0.8
2024-06-10 12:04:52,85,0.7
2024-06-10 12:04:53,84,0.8
2024-06-10 12:04:53,85,0.7
2024-06-10 12:04:54,84,0.8
2024-06-10 12:04:54,85,0.6
2024-06-10 12:04:55,84,0.8
2024-06-10 12:04:55,85,0.6
2024-06-10 12:04:56,84,0.9
2024-06-10 12:04:56,85,0.8
2024-06-10 12:04:57,84,0.8
2024-06-10 12:04:57,85,0.4
2024-06-10 12:04:58,84,0.8
2024-06-10 12:04:58,85,0.6
2024-06-10 12:04:59,84,0.9
2024-06-10 12:04:59,85,0.8
2024-06-10 12:05:00,84,1.4
2024-06-10 12:05:00,85,1.0
2024-06-10 12:05:01,84,1.4
2024-06-10 12:05:01,85,1.0
2024-06-10 12:05:02,84,1.4
2024-06-10 12:05:02,85,1.0
2024-06-10 12:05:03,84,1.4
2024-06-10 12:05:03,85,1.0
2024-06-10 12:05:04,84,1.4
2024-06-10 12:05:04,85,1.0
2024-06-10 12:05:05,84,1.4
2024-06-10 12:05:05,85,0.9
2024-06-10 12:05:06,84,1.4
2024-06-10 12:05:06,85,1.0
2024-06-10 12:05:07,84,1.4
2024-06-10 12:05:07,85,1.0
2024-06-10 12:05:08,84,1.4
2024-06-10 12:05:08,85,1.0
2024-06-10 12:05:09,84,1.4
2024-06-10 12:05:09,85,0.9
2024-06-10 12:05:10,84,1.4
2024-06-10 12:05:10,85,0.9
2024-06-10 12:05:11,84,1.4
2024-06-10 12:05:11,85,0.9
2024-06-10 12:05:12,84,1.4
2024-06-10 12:05:12,85,0.9
2024-06-10 12:05:13,84,1.5
2024-06-10 12:05:13,85,1.0
2024-06-10 12:05:15,84,1.3
2024-06-10 12:05:15,85,1.2
2024-06-10 12:05:16,84,1.6
2024-06-10 12:05:16,85,1.4
2024-06-10 12:05:17,84,1.3
2024-06-10 12:05:17,85,1.6
2024-06-10 12:05:18,84,1.4
2024-06-10 12:05:18,85,1.4
2024-06-10 12:05:19,84,1.3
2024-06-10 12:05:19,85,1.5
2024-06-10 12:05:20,84,1.3
2024-06-10 12:05:20,85,1.5
2024-06-10 12:05:21,84,1.3
2024-06-10 12:05:21,85,1.4
2024-06-10 12:05:22,84,1.4
2024-06-10 12:05:22,85,1.2
2024-06-10 12:05:23,84,1.7
2024-06-10 12:05:23,85,1.4
2024-06-10 12:05:24,84,1.4
2024-06-10 12:05:24,85,1.2
2024-06-10 12:05:25,84,1.3
2024-06-10 12:05:25,85,1.1
2024-06-10 12:05:26,84,2.1
2024-06-10 12:05:26,85,1.3
2024-06-10 12:05:27,84,1.5
2024-06-10 12:05:27,85,1.4
2024-06-10 12:05:28,84,1.7
2024-06-10 12:05:28,85,1.6
2024-06-10 12:05:29,84,1.8
2024-06-10 12:05:29,85,1.7
2024-06-10 12:05:30,84,1.6
2024-06-10 12:05:30,85,1.4
2024-06-10 12:05:31,84,1.5
2024-06-10 12:05:31,85,3.0
2024-06-10 12:05:32,84,1.8
2024-06-10 12:05:32,85,2.0
2024-06-10 12:05:33,84,2.0
2024-06-10 12:05:33,85,2.2
2024-06-10 12:05:34,84,2.0
2024-06-10 12:05:34,85,2.2
2024-06-10 12:05:35,84,2.1
2024-06-10 12:05:35,85,2.2
2024-06-10 12:05:36,84,2.0
2024-06-10 12:05:36,85,2.1
2024-06-10 12:05:37,84,2.0
2024-06-10 12:05:37,85,2.2
2024-06-10 12:05:38,84,2.0
2024-06-10 12:05:38,85,2.1
2024-06-10 12:05:39,84,2.0
2024-06-10 12:05:39,85,2.1
2024-06-10 12:05:40,84,2.3
2024-06-10 12:05:40,85,2.3
2024-06-10 12:05:41,84,2.0
2024-06-10 12:05:41,85,1.8
2024-06-10 12:05:42,84,1.8
2024-06-10 12:05:42,85,1.8
2024-06-10 12:05:43,84,1.5
2024-06-10 12:05:43,85,1.3
2024-06-10 12:05:44,84,1.5
2024-06-10 12:05:44,85,1.7
2024-06-10 12:05:45,84,1.7
2024-06-10 12:05:45,85,1.1
2024-06-10 12:05:46,84,1.2
2024-06-10 12:05:46,85,1.0
2024-06-10 12:05:47,84,1.1
2024-06-10 12:05:47,85,1.2
2024-06-10 12:05:48,84,1.2
2024-06-10 12:05:48,85,0.9
2024-06-10 12:05:49,84,1.2
2024-06-10 12:05:49,85,0.9
2024-06-10 12:05:50,84,1.2
2024-06-10 12:05:50,85,0.9
2024-06-10 12:05:51,84,1.2
2024-06-10 12:05:51,85,1.1
2024-06-10 12:05:53,84,1.3
2024-06-10 12:05:53,85,1.2
2024-06-10 12:05:54,84,1.2
2024-06-10 12:05:54,85,0.7
2024-06-10 12:05:55,84,1.1
2024-06-10 12:05:55,85,1.1
2024-06-10 12:05:56,84,1.4
2024-06-10 12:05:56,85,1.2
2024-06-10 12:05:57,84,1.8
2024-06-10 12:05:57,85,1.5
2024-06-10 12:05:58,84,2.6
2024-06-10 12:05:58,85,2.1
2024-06-10 12:05:59,84,2.0
2024-06-10 12:05:59,85,2.1
2024-06-10 12:06:00,84,2.1
2024-06-10 12:06:00,85,2.0
2024-06-10 12:06:01,84,3.1
2024-06-10 12:06:01,85,1.6
2024-06-10 12:06:02,84,1.5
2024-06-10 12:06:02,85,1.4
2024-06-10 12:06:03,84,1.2
2024-06-10 12:06:03,85,1.1
2024-06-10 12:06:04,84,1.2
2024-06-10 12:06:04,85,1.6
2024-06-10 12:06:05,84,1.7
2024-06-10 12:06:05,85,2.2
2024-06-10 12:06:06,84,2.0
2024-06-10 12:06:06,85,2.9
2024-06-10 12:06:07,84,2.0
2024-06-10 12:06:07,85,2.5
2024-06-10 12:06:08,84,1.0
2024-06-10 12:06:08,85,1.2
2024-06-10 12:06:09,84,1.8
2024-06-10 12:06:09,85,0.9
2024-06-10 12:06:10,84,1.8
2024-06-10 12:06:10,85,1.6
2024-06-10 12:06:11,84,1.5
2024-06-10 12:06:11,85,1.4
2024-06-10 12:06:12,84,1.7
2024-06-10 12:06:12,85,1.0
2024-06-10 12:06:13,84,1.6
2024-06-10 12:06:13,85,1.7
2024-06-10 12:06:14,84,1.7
2024-06-10 12:06:14,85,1.5
2024-06-10 12:06:15,84,1.9
2024-06-10 12:06:15,85,1.8
2024-06-10 12:06:16,84,2.1
2024-06-10 12:06:16,85,2.0
2024-06-10 12:06:17,84,1.8
2024-06-10 12:06:17,85,2.3
2024-06-10 12:06:18,84,1.1
2024-06-10 12:06:18,85,1.0
2024-06-10 12:06:19,84,0.8
2024-06-10 12:06:19,85,0.6
2024-06-10 12:06:20,84,0.8
2024-06-10 12:06:20,85,0.6
2024-06-10 12:06:21,84,0.8
2024-06-10 12:06:21,85,0.7
2024-06-10 12:06:22,84,0.9
2024-06-10 12:06:22,85,0.8
2024-06-10 12:06:23,84,0.9
2024-06-10 12:06:23,85,0.6
2024-06-10 12:06:24,84,0.9
2024-06-10 12:06:24,85,0.6
2024-06-10 12:06:25,84,0.9
2024-06-10 12:06:25,85,0.6
2024-06-10 12:06:26,84,0.9
2024-06-10 12:06:26,85,0.5
2024-06-10 12:06:27,84,0.9
2024-06-10 12:06:27,85,0.6
2024-06-10 12:06:29,84,0.9
2024-06-10 12:06:29,85,0.5
2024-06-10 12:06:30,84,1.0
2024-06-10 12:06:30,85,0.5
2024-06-10 12:06:31,84,0.9
2024-06-10 12:06:31,85,0.5
2024-06-10 12:06:32,84,0.9
2024-06-10 12:06:32,85,0.5
2024-06-10 12:06:33,84,0.9
2024-06-10 12:06:33,85,0.6
2024-06-10 12:06:34,84,0.8
2024-06-10 12:06:34,85,0.5
2024-06-10 12:06:35,84,0.9
2024-06-10 12:06:35,85,0.6
2024-06-10 12:06:36,84,0.8
2024-06-10 12:06:36,85,0.5
2024-06-10 12:06:37,84,1.3
2024-06-10 12:06:37,85,1.2
2024-06-10 12:06:38,84,2.2
2024-06-10 12:06:38,85,2.6
2024-06-10 12:06:39,84,1.9
2024-06-10 12:06:39,85,1.8
2024-06-10 12:06:40,84,2.4
2024-06-10 12:06:40,85,2.4
2024-06-10 12:06:41,84,3.0
2024-06-10 12:06:41,85,3.0
2024-06-10 12:06:42,84,3.3
2024-06-10 12:06:42,85,3.2
2024-06-10 12:06:43,84,3.3
2024-06-10 12:06:43,85,3.3
2024-06-10 12:06:44,84,3.3
2024-06-10 12:06:44,85,3.3
2024-06-10 12:06:45,84,3.3
2024-06-10 12:06:45,85,3.3
2024-06-10 12:06:46,84,3.3
2024-06-10 12:06:46,85,3.3
2024-06-10 12:06:47,84,3.3
2024-06-10 12:06:47,85,3.2
2024-06-10 12:06:48,84,3.1
2024-06-10 12:06:48,85,3.0
2024-06-10 12:06:49,84,3.3
2024-06-10 12:06:49,85,3.2
2024-06-10 12:06:50,84,3.8
2024-06-10 12:06:50,85,3.7
2024-06-10 12:06:51,84,3.7
2024-06-10 12:06:51,85,4.1
2024-06-10 12:06:52,84,4.1
2024-06-10 12:06:52,85,3.7
2024-06-10 12:06:53,84,4.0
2024-06-10 12:06:53,85,3.8
2024-06-10 12:06:54,84,4.4
2024-06-10 12:06:54,85,4.3
2024-06-10 12:06:55,84,4.4
2024-06-10 12:06:55,85,4.3
2024-06-10 12:06:56,84,4.7
2024-06-10 12:06:56,85,4.3
2024-06-10 12:06:57,84,4.6
2024-06-10 12:06:57,85,4.7
2024-06-10 12:06:58,84,5.2
2024-06-10 12:06:58,85,5.3
2024-06-10 12:06:59,84,4.8
2024-06-10 12:06:59,85,4.9
2024-06-10 12:07:00,84,5.7
2024-06-10 12:07:00,85,5.8
2024-06-10 12:07:01,84,5.7
2024-06-10 12:07:01,85,5.5
2024-06-10 12:07:02,84,6.4
2024-06-10 12:07:02,85,5.7
2024-06-10 12:07:03,84,6.4
2024-06-10 12:07:03,85,5.8
2024-06-10 12:07:04,84,6.8
2024-06-10 12:07:04,85,6.7
2024-06-10 12:07:06,84,6.8
2024-06-10 12:07:06,85,6.7
2024-06-10 12:07:07,84,6.8
2024-06-10 12:07:07,85,6.7
2024-06-10 12:07:08,84,6.8
2024-06-10 12:07:08,85,6.7
2024-06-10 12:07:15,84,2.8
2024-06-10 12:07:15,85,2.6
2024-06-10 12:07:16,84,1.9
2024-06-10 12:07:16,85,1.8
2024-06-10 12:07:17,84,1.8
2024-06-10 12:07:17,85,1.7
2024-06-10 12:07:18,84,1.1
2024-06-10 12:07:18,85,0.9
2024-06-10 12:07:19,84,1.2
2024-06-10 12:07:19,85,0.9
2024-06-10 12:07:20,84,1.3
2024-06-10 12:07:20,85,1.4
2024-06-10 12:07:21,84,1.1
2024-06-10 12:07:21,85,0.9
2024-06-10 12:07:22,84,1.4
2024-06-10 12:07:22,85,1.0
2024-06-10 12:07:23,84,1.0
2024-06-10 12:07:23,85,1.4
2024-06-10 12:07:24,84,1.2
2024-06-10 12:07:24,85,1.3
2024-06-10 12:07:25,84,1.1
2024-06-10 12:07:25,85,1.6
2024-06-10 12:07:26,84,1.5
2024-06-10 12:07:26,85,1.4
2024-06-10 12:07:27,84,1.1
2024-06-10 12:07:27,85,1.0
2024-06-10 12:07:28,84,1.4
2024-06-10 12:07:28,85,1.2
2024-06-10 12:07:29,84,0.9
2024-06-10 12:07:29,85,1.3
2024-06-10 12:07:30,84,1.1
2024-06-10 12:07:30,85,0.9
2024-06-10 12:07:31,84,0.8
2024-06-10 12:07:31,85,0.9
2024-06-10 12:07:32,84,1.0
2024-06-10 12:07:32,85,1.1
2024-06-10 12:07:33,84,1.0
2024-06-10 12:07:33,85,1.3
2024-06-10 12:07:34,84,1.0
2024-06-10 12:07:34,85,0.8
2024-06-10 12:07:35,84,0.9
2024-06-10 12:07:35,85,1.1
